ID,target,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131
3,1,1.3357394,8.727474,2,3.9210258,7.9152656,2.5992777,3.176895,0.012941466,9.999999,0.5032815,16.434109,6.0857105,2.8668294,11.636387,1.3550133,8.571428,3.6703503,0.10672043,0.14888313,18.869284,7.730923,16670,-1.7161307e-8,2,0.13941158,1.7208183,3.3935027,0.5901219,8.880867,2,0,1.0830334,1.0108294,7.270147,8.375452,11.3265915,0.45454568,0,4.012088,7.7114534,7.653429,12.707581,2.0155046,10.498338,9.848672,0.11356064,2,12.171734,8.086642,0.89942,7.2777925,6,16.747969,0.037096325,1.2996383,85,3.9711185,0.52980226,10.890984,1.588448,15.858151,1,0.15346108,6.3631897,18.303925,2,9.314078,15.231789,17.142857,11.784549,4,1,1.614988,1,3,2.2309396,7.2924185,8.571429,4,3.0000002,7.5283256,8.861647,0.6498199,1.2996384,1.7073169,0.8664262,9.551836,3.3212998,0.09567837,0.9053423,0,0.4422517,5.814018,3.5177205,0.4620187,7.436824,5.4545455,8.877414,1.1913366,19.4702,8.389236,2.757375,4.374296,1.5740392,0.0072938157,12.579185,4,2.3826919,3.930922,1,0.4332129,14,36,15.634908,2.8571439,1.9512198,6.5920124,5.909091,-6.297423e-7,1.0596026,0.8035719,8,1.9897802,0.035753686,21,1.8041257,3.113719,2.0242853,0,0.6363645,2.8571436
4,1,1.6306858,7.464411,2,4.1450977,9.191265,2.4364014,2.4839206,2.3016305,9.031859,1.31291,15.4474125,6.5076466,3.7983966,11.636386,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,6.7631097,7733,1.0930884,2,3.056144,1.8760304,2.743454,5.093328,8.206417,2,0,1.6221507,2.161633,3.6150775,8.122387,14.579479,0.7414709,0,1.2371838,14.305766,7.1825514,12.924965,2.216597,10.795169,9.142231,2.4499588,4,12.538022,8.016547,1.3792101,7.198159,6,15.711299,1.1294686,1.5595562,101,4.077828,7.701653,10.587945,1.7142946,14.583035,2,2.5447364,6.3437138,15.847556,0,9.287274,17.564117,9.449335,12.053353,4,2,2.4333034,1,3,2.4050555,7.307366,13.334482,3,2.2097,7.2776546,3.4306915,2.1738074,1.6079556,2.8222525,1.2201841,9.848003,1.924184,2.6785843,0.96691257,1,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,8.3039665,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.5053346,11.79136,1,1.8253607,4.247858,0,3.3653135,20,17,10.3080435,10.548051,2.2912173,10.595357,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.59889567,6,1.6726577,3.2395418,1.9578251,0,1.9257636,1.7393892
5,1,0.9438769,5.310079,2,4.410969,5.3261595,3.9795918,3.9285712,0.01964513,12.666667,0.76586396,14.756098,6.3846703,2.5055892,9.603541,1.9841266,5.8823524,3.1708467,0.244541,0.14425837,17.952332,5.245035,7086,-2.7850533e-7,4,0.113997005,2.244897,5.3061223,0.8360052,7.499999,7,0,1.4540821,1.7346933,4.0438643,7.959184,12.730516,0.25974008,0,7.3789644,13.077201,6.173469,12.346939,2.9268303,8.89756,5.343819,0.12603459,2,12.711328,6.8367343,0.6045041,9.637628,5,15.102041,0.08557285,0.7653052,17,4.030613,4.277456,9.105481,2.1513608,16.075602,1,0.123643234,5.517949,16.377205,0,8.367348,11.040463,5.8823533,8.460654,1,3,2.413618,1,1,1.9639709,5.918368,11.764705,4,3.3333342,10.194432,8.266199,1.5306113,1.530613,2.429906,1.0714293,8.447465,3.3673463,0.11138775,0.8114466,6,0.27148002,5.1565595,4.2149444,0.30965656,5.6632657,5.974026,11.588858,0.841837,15.491329,5.8793526,3.2927883,5.9244566,1.6684009,0.008274619,11.670572,2,1.3757534,1.1842113,1,3.3673477,18,36,11.205562,12.941177,3.1292524,3.4789107,6.2337666,-2.792745e-7,2.1387284,2.2388065,9.333333,2.4775958,0.013451914,5,1.773709,3.9221933,1.1204684,2,0.88311756,1.1764715
6,1,0.79741454,8.304757,2,4.2259297,11.627439,2.0977004,1.9875487,0.1719467,8.965516,6.5426693,16.347483,9.646653,3.903302,14.094723,1.9450436,5.517242,3.610789,1.2241138,0.23163043,18.376408,7.5171247,1510,-4.805344e-7,3,0.14884306,1.3082691,2.30364,8.926662,8.87452,2,1,1.5876442,1.6666666,8.703549,8.898468,11.302795,0.43373457,0,0.28732172,11.523045,7.9310355,12.935823,1.4708776,12.708574,9.670823,0.10838693,2,12.194855,8.591954,3.3291764,4.7803574,7,16.621695,0.13972117,1.1781613,47,3.9655173,1.7321022,11.777912,1.2292458,15.92739,1,0.1402597,6.2929792,17.011644,0,9.703065,18.568129,9.425287,13.5947275,4,2,2.2725413,1,3,2.1881979,8.213602,13.4482765,1,1.9472609,4.797873,13.31582,1.6810343,1.3793104,1.5870447,1.2428166,10.747144,1.4080456,0.039051317,1.0424254,1,0.76392454,5.498902,3.423944,0.83251816,7.3754797,6.746988,6.9420023,1.3346112,18.256351,8.50728,2.503055,4.8721576,2.573664,0.11396737,12.554274,1,2.2307537,1.9901307,1,2.6436782,9,36,13.777666,10.574713,1.5110633,4.949609,7.180722,0.56550866,1.1662807,1.9565208,7.018256,1.8127949,0.002267384,64,1.4152304,2.9543812,1.9908468,1,1.6771076,1.0344828
8,1,1.6306858,7.464411,2,4.1450977,8.742359,2.4364014,2.4839206,1.4965684,9.031859,1.0503284,15.4474125,6.3200874,3.7983966,10.991097,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,6.414567,8037,1.0930884,4,1.6981288,1.8760304,2.743454,5.093328,8.206417,7,0,1.6221507,2.161633,6.0831504,8.122387,13.375597,0.7414709,0,1.2371838,10.13892,7.1825514,12.924965,2.216597,10.795169,9.142231,1.6305254,8,12.538022,8.016547,1.3645358,7.198159,7,15.711299,1.2538562,1.5595562,122,4.077828,7.701653,10.587945,1.7142946,14.583035,1,1.6873275,6.3437138,15.847556,2,9.287274,17.564117,9.449335,12.2699585,4,1,2.4333034,1,3,2.4050555,7.307366,13.334482,2,2.2097,7.2871733,6.208356,2.1738074,1.6079556,2.8222525,1.2201841,10.180216,1.924184,1.5184252,0.96691257,6,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,7.6676235,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.0810453,11.79136,2,2.15262,4.1812844,0,3.3653135,19,17,14.097098,10.548051,2.2912173,8.303857,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.91981196,89,1.6726577,3.2395418,2.030373,0,1.9257636,1.7393892
9,0,1.6306858,7.464411,2,4.1450977,8.856791,2.4364014,2.4839206,0.35999313,9.031859,1.0503279,15.4474125,6.216077,3.7983966,11.916256,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,7.3514256,4579,1.0930884,0,0.21845832,1.8760304,2.743454,5.093328,8.206417,7,0,1.6221507,2.161633,7.496613,8.122387,15.497965,0.7414709,0,1.2371838,7.903915,7.1825514,12.924965,2.216597,10.795169,9.142231,0.26263207,8,12.538022,8.016547,1.6535829,7.198159,10,15.711299,0.13127767,1.5595562,100,4.077828,7.701653,10.587945,1.7142946,14.583035,1,0.27652398,6.3437138,15.847556,0,9.287274,17.564117,9.449335,11.52116,4,1,2.4333034,1,3,2.4050555,7.307366,13.334482,8,2.2097,7.978375,3.8113556,2.1738074,1.6079556,2.8222525,1.2201841,9.618443,1.924184,0.11639024,0.96691257,6,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,8.970103,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,0.19353046,11.79136,2,1.7637651,2.442616,0,3.3653135,3,33,15.750502,10.548051,2.2912173,8.851677,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.049861163,87,1.6726577,3.2395418,1.5362222,0,1.9257636,1.7393892
12,0,0.89980567,7.312995,2,3.4941485,9.946199,1.92607,1.7704275,0.0662515,5.011287,2.341356,16.27451,7.7111745,5.9155874,12.148604,1.9683027,6.6019406,2.8739738,0.48413253,0.44366133,17.226675,6.661479,11282,7.813019e-7,4,0.1807647,1.0700397,1.566147,4.393842,7.928015,6,0,1.6196507,2.003892,3.9649115,8.735408,13.967877,0.54945123,0,0.03158729,14.787642,7.266536,14.445526,1.3071895,11.765638,9.406689,0.11077403,2,13.256878,8.365759,0.13351963,6.368555,0,16.760736,0.09769271,1.7217891,17,3.6770422,0.7299275,12.858751,0.9808696,15.067893,2,0.16441543,5.1755633,15.655942,0,8.92996,19.124088,11.45631,14.15257,4,2,2.5190632,1,3,1.7091885,7.354085,12.427184,4,1.5349886,6.328159,3.4909506,1.8677052,1.9844358,2.591876,1.1235414,10.999548,1.1478605,0.0759585,1.3437524,1,0.7664217,5.875069,5.841754,0.86330086,6.6439686,6.0439568,6.0796785,1.3018807,19.036495,7.492828,2.5118978,6.3108354,4.697276,0.047703072,11.075756,1,2.2548184,5.180922,1,2.5680943,8,36,9.010082,8.543691,1.3496927,12.168719,6.593406,1.532727,0.8467161,2.232558,3.4762988,1.9925941,0.083758324,37,3.2761002,1.6232976,2.266575,0,2.2637365,0.970873
21,1,1.6306858,7.464411,2,4.1450977,8.742359,2.4364014,2.4839206,1.4965684,9.031859,1.8380742,15.4474125,6.424482,3.7983966,12.793944,2.0809107,4.923223,3.8322701,0.8410455,0.22230048,17.773592,7.8067036,3861,1.0930884,3,1.6981288,1.8760304,2.743454,5.093328,8.206417,2,0,1.6221507,2.161633,11.077505,8.122387,13.375597,0.7414709,0,1.2371838,3.0345132,7.1825514,12.924965,2.216597,10.795169,9.142231,1.6305254,8,12.538022,8.016547,2.682121,7.198159,2,15.711299,1.2538562,1.5595562,92,4.077828,7.701653,10.587945,1.7142946,14.583035,2,1.6873275,6.3437138,15.847556,2,9.287274,17.564117,9.449335,12.2699585,4,2,2.4333034,1,3,2.4050555,7.307366,13.334482,2,2.2097,7.2871733,6.208356,2.1738074,1.6079556,2.8222525,1.2201841,10.180216,1.924184,1.5184252,0.96691257,0,0.5823667,5.475185,3.852883,0.66575766,6.4579515,7.6225543,7.6676235,1.2507206,12.091622,6.866414,2.8902884,5.2967157,2.642828,1.0810453,11.79136,4,2.15262,4.1812844,0,3.3653135,5,22,18.70561,10.548051,2.2912173,8.303857,8.364651,3.1689699,1.2912179,2.7375958,6.8224387,3.5499382,0.91981196,52,1.6726577,3.2395418,2.030373,0,1.9257636,1.7393892
22,0,2.0786512,8.462619,3,3.73903,5.265636,1.5730335,2.303371,0.015869211,11.111111,4.463894,16.050955,8.715047,2.3480535,12.603403,1.5804605,6.666667,3.0521321,0.13993923,0.18061642,17.754604,6.0349536,7521,-3.643173e-7,4,0.058905676,1.6479404,3.089888,0.7590339,8.146068,7,3,1.264045,1.3483146,6.952621,8.089888,12.754313,0.9756107,0,3.1689997,12.199552,7.0786514,11.741573,2.038216,10.173,7.936837,0.08517581,3,12.940907,7.9213476,1.6755922,8.851832,7,16.551725,0.015390712,1.1797757,5,4.382023,0.50505114,10.022723,1.4419467,15.555609,0,0.06771983,5.406643,16.856447,1,8.820226,15.656567,11.666666,9.727714,1,0,1.9904453,1,1,1.8409903,7.078652,10,15,2.9629636,10.253181,8.2311735,1.0112354,1.3483137,1.5999997,0.92696726,6.961616,2.4719105,0.040216018,0.91086733,2,0.58503956,5.0048103,3.0941162,0.6325252,6.7415724,6.829269,9.823609,0.72097415,19.49495,6.672091,1.7802464,4.6799436,1.6534044,0.0060714446,11.460973,3,1.1944026,1.1513157,2,1.6853935,11,36,12.536835,8.333332,1.9310336,3.419186,7.8048773,0.51824224,1.4141424,1.2765952,8.148149,1.8755604,0.018659499,82,1.1596367,5.582865,1.1052827,0,1.1707312,3.3333342
23,1,1.1448023,5.880606,2,3.2444687,9.5383835,2.5000005,1.5594053,0.41260996,9.977529,2.3632376,16.0914,7.4178534,4.1769495,13.790046,2.3195584,5.9,2.7686517,0.81277746,0.27182156,18.410067,8.312447,12769,3.955979e-8,2,0.5095882,1.1685231,1.4108913,6.908275,9.059405,2,0,2.0606432,2.4752467,6.498729,9.603961,14.658608,0.7936511,0,0.075258374,10.803126,8.279703,13.267327,1.238725,10.29585,12.480398,0.34397274,8,13.982603,8.954207,0.99332416,6.6823273,0,16.489073,0.23280029,1.7079217,122,3.8118804,6.417392,13.204338,1.0550742,13.528267,3,0.39069358,4.874554,16.499231,0,10.290842,19.495653,9.200001,15.052753,4,3,2.781119,1,3,1.668671,8.644803,13.099999,2,2.651686,7.0174756,3.6794448,2.4319303,2.190594,2.7477486,1.5129957,12.3247,0.8787122,0.17115259,1.189657,0,1.022954,5.4326396,3.1525133,1.1587827,7.469059,7.3809524,5.772735,1.1798675,13.582609,7.197289,3.6943474,4.389466,3.0016086,0.27859908,10.064205,4,2.2405903,3.8375301,0,3.9727716,9,25,13.434123,10.700001,1.270491,10.719493,8.174603,8.931283,0.43478197,2.7159636,7.325843,4.896617,0.008943653,68,1.3445503,1.6011759,1.9280094,0,3.1746027,1.0000001
